SRNumber,CreatedDate,UpdatedDate,ActionTaken,Owner,RequestType,Status,RequestSource,MobileOS,Anonymous,AssignTo,ServiceDate,ClosedDate,AddressVerified,ApproximateAddress,Address,HouseNumber,Direction,StreetName,Suffix,ZipCode,Latitude,Longitude,Location,TBMPage,TBMColumn,TBMRow,APC,CD,CDMember,NC,NCName,PolicePrecinct
1-870256431,12/30/2017 03:02:29 PM,01/03/2018 01:12:20 PM,SR Created,BOS,Bulky Items,Closed,Call,,N,NC,01/03/2018 12:00:00 AM,01/03/2018 01:12:20 PM,Y,N,"6079 E DELPHI ST, 90042",6079,E,DELPHI,ST,90042,34.1242230685,-118.187532894,"(34.1242230685, -118.187532894)",595,D,1,East Los Angeles APC,14,Jose Huizar,41,HISTORIC HIGHLAND PARK NC,NORTHEAST
1-870257911,12/30/2017 03:02:08 PM,01/02/2018 01:35:25 PM,SR Created,BOS,Dead Animal Removal,Closed,Call,,N,HB,,01/02/2018 01:35:25 PM,Y,N,"3423 W 78TH PL, 90043",3423,W,78TH,PL,90043,33.9682030465,-118.331794624,"(33.9682030465, -118.331794624)",703,F,1,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,77TH STREET
1-870255561,12/30/2017 03:01:49 PM,01/02/2018 01:13:09 PM,SR Created,BOS,Dead Animal Removal,Closed,Call,,N,SLA,,01/02/2018 01:13:09 PM,Y,N,"5425 S VAN NESS AVE, 90062",5425,S,VAN NESS,AVE,90062,33.9924231384,-118.31742748,"(33.9924231384, -118.31742748)",673,G,5,South Los Angeles APC,8,Marqueece Harris-Dawson,80,PARK MESA HEIGHTS CC,77TH STREET
1-870257039,12/30/2017 03:00:20 PM,01/03/2018 03:47:10 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,NDFY,01/03/2018 03:46:49 PM,01/03/2018 03:47:09 PM,Y,N,"13355 W BARBARA ANN ST, 91605",13355,W,BARBARA ANN,ST,91605,34.2003596758,-118.424454517,"(34.2003596758, -118.424454517)",532,D,5,South Valley APC,2,Paul Krekorian,22,NOHO WEST NC,NORTH HOLLYWOOD
1-870256941,12/30/2017 02:59:52 PM,01/02/2018 01:25:36 PM,SR Created,BOS,Dead Animal Removal,Closed,Call,,N,WLA,,01/02/2018 01:25:36 PM,Y,N,"6036 W 76TH PL, 90045",6036,W,76TH,PL,90045,33.9706913068,-118.389834021,"(33.9706913068, -118.389834021)",702,H,1,West Los Angeles APC,11,Mike Bonin,71,NC WESTCHESTER/PLAYA,PACIFIC
1-870256888,12/30/2017 02:59:52 PM,12/31/2017 11:52:10 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,KYCC,12/31/2017 11:51:52 AM,12/31/2017 11:52:10 AM,Y,N,"VENICE BLVD AT HOBART BLVD, 90006",,,,,90006,34.043570441,-118.305324537,"(34.043570441, -118.305324537)",633,J,5,South Los Angeles APC,10,Herb J. Wesson Jr.,74,"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",OLYMPIC
1-870256802,12/30/2017 02:59:00 PM,01/03/2018 08:47:29 AM,SR Created,BOS,Illegal Dumping Pickup,Closed,Mobile App,iOS,N,SLA,01/03/2018 12:00:00 AM,01/03/2018 08:47:28 AM,Y,,"1815 W EXPOSITION BLVD, 90018",1815,W,EXPOSITION,BLVD,90018,34.0185717886,-118.313484969,"(34.0185717886, -118.313484969)",673,H,1,South Los Angeles APC,8,Marqueece Harris-Dawson,77,EMPOWERMENT CONGRESS NORTH AREA NDC,SOUTHWEST
1-870256071,12/30/2017 02:58:03 PM,12/31/2017 11:45:54 AM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,Android,Y,KYCC,12/31/2017 11:45:38 AM,12/31/2017 11:45:53 AM,Y,N,"VENICE BLVD AT NORMANDIE AVE, 90006",,,,,90006,34.0437278817,-118.300466077,"(34.0437278817, -118.300466077)",633,J,5,South Los Angeles APC,10,Herb J. Wesson Jr.,76,PICO UNION NC,OLYMPIC
1-870253551,12/30/2017 02:57:33 PM,01/05/2018 06:10:47 AM,SR Created,BOS,Bulky Items,Closed,Call,,N,WLA,01/05/2018 12:00:00 AM,01/05/2018 06:10:46 AM,Y,N,"1253 S CRESCENT HEIGHTS BLVD, 90035",1253,S,CRESCENT HEIGHTS,BLVD,90035,34.0531281621,-118.372020881,"(34.0531281621, -118.372020881)",633,A,4,Central APC,5,Paul Koretz,60,P.I.C.O. NC,WILSHIRE
1-870255222,12/30/2017 02:57:11 PM,01/02/2018 02:57:52 PM,SR Created,OCB,Graffiti Removal,Closed,Mobile App,iOS,N,NDFY,01/02/2018 02:57:08 PM,01/02/2018 02:57:51 PM,Y,N,"7100 N VARNA AVE, 91605",7100,N,VARNA,AVE,91605,34.199406829,-118.424266741,"(34.199406829, -118.424266741)",532,D,5,South Valley APC,2,Paul Krekorian,22,NOHO WEST NC,NORTH HOLLYWOOD
