NAME,state,county,tract,GEO_ID,Total population
"Census Tract 2111.21, Los Angeles County, California",6,37,211121,1400000US06037211121,2243
"Census Tract 2111.22, Los Angeles County, California",6,37,211122,1400000US06037211122,3024
"Census Tract 2111.23, Los Angeles County, California",6,37,211123,1400000US06037211123,1478
"Census Tract 2111.24, Los Angeles County, California",6,37,211124,1400000US06037211124,4806
"Census Tract 2112.01, Los Angeles County, California",6,37,211201,1400000US06037211201,2759
"Census Tract 2112.02, Los Angeles County, California",6,37,211202,1400000US06037211202,2217
"Census Tract 2113.10, Los Angeles County, California",6,37,211310,1400000US06037211310,3840
"Census Tract 2113.20, Los Angeles County, California",6,37,211320,1400000US06037211320,3288
"Census Tract 2114.10, Los Angeles County, California",6,37,211410,1400000US06037211410,3103
"Census Tract 2114.20, Los Angeles County, California",6,37,211420,1400000US06037211420,3255
"Census Tract 2115, Los Angeles County, California",6,37,211500,1400000US06037211500,4147
"Census Tract 2117.01, Los Angeles County, California",6,37,211701,1400000US06037211701,2566
"Census Tract 2117.03, Los Angeles County, California",6,37,211703,1400000US06037211703,4560
"Census Tract 2117.04, Los Angeles County, California",6,37,211704,1400000US06037211704,2832
"Census Tract 2118.02, Los Angeles County, California",6,37,211802,1400000US06037211802,4320
"Census Tract 2118.03, Los Angeles County, California",6,37,211803,1400000US06037211803,3874
"Census Tract 2118.04, Los Angeles County, California",6,37,211804,1400000US06037211804,3110
"Census Tract 2119.10, Los Angeles County, California",6,37,211910,1400000US06037211910,4287
"Census Tract 2119.21, Los Angeles County, California",6,37,211921,1400000US06037211921,2353
"Census Tract 2119.22, Los Angeles County, California",6,37,211922,1400000US06037211922,3464
"Census Tract 2121.01, Los Angeles County, California",6,37,212101,1400000US06037212101,2717
"Census Tract 2121.02, Los Angeles County, California",6,37,212102,1400000US06037212102,2691
"Census Tract 2122.02, Los Angeles County, California",6,37,212202,1400000US06037212202,3404
"Census Tract 2122.03, Los Angeles County, California",6,37,212203,1400000US06037212203,2889
"Census Tract 2122.04, Los Angeles County, California",6,37,212204,1400000US06037212204,3194
"Census Tract 2123.03, Los Angeles County, California",6,37,212303,1400000US06037212303,4174
"Census Tract 2123.04, Los Angeles County, California",6,37,212304,1400000US06037212304,1689
"Census Tract 2123.05, Los Angeles County, California",6,37,212305,1400000US06037212305,3079
"Census Tract 4067.02, Los Angeles County, California",6,37,406702,1400000US06037406702,6259
"Census Tract 4068.01, Los Angeles County, California",6,37,406801,1400000US06037406801,5023
"Census Tract 4069.03, Los Angeles County, California",6,37,406903,1400000US06037406903,8251
"Census Tract 4070.01, Los Angeles County, California",6,37,407001,1400000US06037407001,5974
"Census Tract 4070.02, Los Angeles County, California",6,37,407002,1400000US06037407002,3475
"Census Tract 4071.01, Los Angeles County, California",6,37,407101,1400000US06037407101,4973
"Census Tract 4071.02, Los Angeles County, California",6,37,407102,1400000US06037407102,5697
"Census Tract 4072.01, Los Angeles County, California",6,37,407201,1400000US06037407201,3742
"Census Tract 4072.02, Los Angeles County, California",6,37,407202,1400000US06037407202,3526
"Census Tract 4073.01, Los Angeles County, California",6,37,407301,1400000US06037407301,4671
"Census Tract 4073.02, Los Angeles County, California",6,37,407302,1400000US06037407302,3682
"Census Tract 4074, Los Angeles County, California",6,37,407400,1400000US06037407400,2002
"Census Tract 4075.01, Los Angeles County, California",6,37,407501,1400000US06037407501,4413
"Census Tract 4075.02, Los Angeles County, California",6,37,407502,1400000US06037407502,3890
"Census Tract 4076.01, Los Angeles County, California",6,37,407601,1400000US06037407601,4303
"Census Tract 4076.02, Los Angeles County, California",6,37,407602,1400000US06037407602,4451
"Census Tract 4077.01, Los Angeles County, California",6,37,407701,1400000US06037407701,4051
"Census Tract 4077.02, Los Angeles County, California",6,37,407702,1400000US06037407702,6940
"Census Tract 4078.01, Los Angeles County, California",6,37,407801,1400000US06037407801,5704
"Census Tract 4078.02, Los Angeles County, California",6,37,407802,1400000US06037407802,3273
"Census Tract 4079.01, Los Angeles County, California",6,37,407901,1400000US06037407901,3992
"Census Tract 4079.02, Los Angeles County, California",6,37,407902,1400000US06037407902,1588
"Census Tract 4080.03, Los Angeles County, California",6,37,408003,1400000US06037408003,4415
"Census Tract 4080.04, Los Angeles County, California",6,37,408004,1400000US06037408004,2521
"Census Tract 4080.05, Los Angeles County, California",6,37,408005,1400000US06037408005,5377
"Census Tract 4080.06, Los Angeles County, California",6,37,408006,1400000US06037408006,3240
"Census Tract 4081.33, Los Angeles County, California",6,37,408133,1400000US06037408133,5622
"Census Tract 4081.34, Los Angeles County, California",6,37,408134,1400000US06037408134,2746
"Census Tract 4081.35, Los Angeles County, California",6,37,408135,1400000US06037408135,4617
"Census Tract 4081.36, Los Angeles County, California",6,37,408136,1400000US06037408136,3590
"Census Tract 4081.37, Los Angeles County, California",6,37,408137,1400000US06037408137,4134
"Census Tract 4081.38, Los Angeles County, California",6,37,408138,1400000US06037408138,5020
"Census Tract 4081.39, Los Angeles County, California",6,37,408139,1400000US06037408139,4689
"Census Tract 4081.40, Los Angeles County, California",6,37,408140,1400000US06037408140,3973
"Census Tract 4081.41, Los Angeles County, California",6,37,408141,1400000US06037408141,4626
"Census Tract 4082.12, Los Angeles County, California",6,37,408212,1400000US06037408212,4985
"Census Tract 4082.13, Los Angeles County, California",6,37,408213,1400000US06037408213,6154
"Census Tract 4083.01, Los Angeles County, California",6,37,408301,1400000US06037408301,6319
"Census Tract 4083.02, Los Angeles County, California",6,37,408302,1400000US06037408302,3528
