request_id,srnumber,created_date,closed_date,type_id,agency_id,source_id,council_id,region_id,address,latitude,longitude,city_id
4484,1-1524257574,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,17,5,"4350 W NORMAL AVE, 90029",34.08654047,-118.2909953,13
4485,1-1524257581,2020-01-02 12:42:00,2020-01-02 12:46:00,1,4,18,17,5,"5100 W HAROLD WAY, 90027",34.09925589,-118.3006136,13
4486,1-1524257586,2020-01-02 12:42:00,2020-01-02 12:46:00,1,4,18,17,5,"4247 W BURNS AVE, 90029",34.08779205,-118.2861996,13
4487,1-1524257601,2020-01-02 12:42:00,2020-01-02 12:46:00,1,4,18,17,5,"4247 W BURNS AVE, 90029",34.08779205,-118.2861996,13
4488,1-1524257606,2020-01-02 12:42:00,2020-01-02 12:46:00,1,4,18,17,5,"4251 W BURNS AVE, 90029",34.08778995,-118.2863241,13
4489,1-1524257621,2020-01-02 12:42:00,2020-01-02 12:46:00,1,4,18,17,5,"874 N VIRGIL AVE, 90029",34.08750337,-118.2867475,13
4490,1-1524257626,2020-01-02 12:42:00,2020-01-03 15:25:00,1,4,18,17,5,"5119 W SUNSET BLVD, 90027",34.09827654,-118.3012989,13
4491,1-1524257631,2020-01-02 12:42:00,2020-01-03 15:25:00,1,4,18,17,5,"5119 W SUNSET BLVD, 90027",34.09827654,-118.3012989,13
4492,1-1524257648,2020-01-02 12:44:00,2020-01-15 18:40:00,1,4,7,65,11,"3700 S GLENDON AVE, 90034",34.01986149,-118.4104194,5
4493,1-1524257781,2020-01-02 12:42:00,2020-01-03 12:24:00,4,2,8,96,6,"134 N OXFORD AVE, 90004",34.07474048,-118.307791,10
4494,1-1524257899,2020-01-02 12:43:00,2020-01-04 07:27:00,4,2,7,75,11,"840 S BEDFORD ST, 90035",34.0616554,-118.380188,5
4495,1-1524257931,2020-01-02 12:43:00,2020-01-02 12:46:00,1,4,18,79,1,"GLENOAKS BLVD AT TYLER ST, 91342",34.3102786,-118.4532532,7
4496,1-1524257988,2020-01-02 12:43:00,2020-01-02 12:45:00,6,2,18,93,11,"2765 S MILITARY AVE, 90064",34.0312771,-118.4278097,5
4497,1-1524258101,2020-01-02 12:43:00,2020-01-06 09:00:00,4,2,8,78,1,"7100 W ESTEPA DR, 91042",34.24231746,-118.2863321,7
4498,1-1524258221,2020-01-02 12:41:00,2020-01-08 08:52:00,4,2,8,31,4,"11009 W SARAH ST, 91602",34.15355314,-118.3708997,4
4499,1-1524258281,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"920 E ANAHEIM ST, 90744",33.78042516,-118.2512844,15
4500,1-1524258286,2020-01-02 12:42:00,2020-01-02 13:25:00,1,4,18,95,12,"910 E ANAHEIM ST, 90744",33.78041943,-118.2516493,15
4501,1-1524258291,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"700 E ANAHEIM ST, 90744",33.7802744,-118.2549519,15
4502,1-1524258296,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"105 W ANAHEIM ST, 90744",33.78005577,-118.2625698,15
4503,1-1524258301,2020-01-02 12:42:00,2020-01-06 11:31:00,7,2,8,84,11,"38 E 27TH AVE, 90291",33.98166048,-118.4676326,11
4504,1-1524258313,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"125 W ANAHEIM ST, 90744",33.78004715,-118.2635141,15
4505,1-1524258319,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"131 W ANAHEIM ST, 90744",33.78004575,-118.2636415,15
4506,1-1524258325,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"841 W ANAHEIM ST, 90744",33.77954219,-118.2726036,15
4507,1-1524258330,2020-01-02 12:42:00,2020-01-02 13:25:00,1,4,18,95,12,"1303 W ANAHEIM ST, 90744",33.77924523,-118.2784453,15
4508,1-1524258345,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"1300 W L ST, 90744",33.78588467,-118.279977,15
4509,1-1524258350,2020-01-02 12:42:00,2020-01-02 12:45:00,1,4,18,95,12,"1324 W L ST, 90744",33.78589786,-118.2805259,15
4510,1-1524258391,2020-01-02 12:42:00,2020-01-03 07:42:00,4,2,8,46,7,"1716 N MARIPOSA AVE, 90027",34.10237629,-118.2993528,4
4511,1-1524258681,2020-01-02 12:43:00,2020-01-03 12:24:00,4,2,8,96,6,"144 N OXFORD AVE, 90004",34.0749459,-118.3077934,10
4512,1-1524258781,2020-01-02 12:43:00,2020-01-04 10:28:00,4,2,8,96,6,"721 S MARIPOSA AVE, 90005",34.05912048,-118.298952,10
4513,1-1524258801,2020-01-02 12:44:00,2020-01-02 13:26:00,3,2,17,59,2,"18053 W SUNBURST ST, 91325",34.23391057,-118.5268796,12
4514,1-1524259149,2020-01-02 12:45:00,2020-01-05 19:37:00,4,2,7,32,4,"5716 N LAUREL CANYON BLVD, 91607",34.17431548,-118.3963458,2
4515,1-1524259486,2020-01-02 12:43:00,2020-01-02 12:45:00,6,2,18,65,11,"9326 W EXPOSITION BLVD, 90034",34.02836027,-118.396548,5
4517,1-1524259661,2020-01-02 12:43:00,2020-01-07 12:39:00,4,2,8,56,4,"13164 W HART ST, 91605",34.1974284,-118.4200267,2
4518,1-1524259781,2020-01-02 12:44:00,2020-01-08 10:26:00,4,2,8,58,2,"18121 W SUPERIOR ST, 91325",34.24649663,-118.528571,12
4519,1-1524259821,2020-01-02 12:44:00,2020-01-07 08:32:00,2,2,17,80,3,"18372 W CLARK ST, 91356",34.16957619,-118.5328712,3
4520,1-1524259851,2020-01-02 12:44:00,2020-01-06 13:12:00,4,2,8,78,1,"9436 N HILLHAVEN AVE, 91042",34.24068718,-118.2928955,7
4521,1-1524259911,2020-01-02 12:45:00,2020-01-04 10:50:00,4,2,8,63,5,"1442 1/2 S ORANGE GROVE AVE, 90019",34.04998878,-118.3657503,10
4522,1-1524259971,2020-01-02 12:45:00,2020-01-06 11:38:00,7,2,8,60,2,"10820 N AMIGO AVE, 91326",34.26681395,-118.5380786,12
4523,1-1524260061,2020-01-02 12:45:00,2020-01-08 11:07:00,4,2,8,7,9,"244 W 77TH ST, 90003",33.9697191,-118.2775543,9
4524,1-1524261281,2020-01-02 12:45:00,2020-01-02 12:46:00,1,4,18,79,1,"EL DORADO AVE AT TYLER ST, 91342",34.30077431,-118.4647254,7
4525,1-1524261461,2020-01-02 12:45:00,2020-01-04 11:55:00,4,2,8,33,5,"3609 W SAN MARINO ST, 90019",34.05453828,-118.3117295,4
